"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","ERROR","2017-06-13T23:19:55.447-05:00","0.0","56.78"
"Lookup a definition","Looking up the definition of 'pear'","ERROR","2017-06-13T23:21:06.846-05:00","0.0","48.42"
